Insignia™,NS-32DR310NA17,4.5,4779
Samsung,UN40J5200AFXZA,4.6,5853
Insignia™,NS-39DR510NA17,4.5,4426
LG,43LJ550M,4.6,257
Westinghouse,WD24HB2600,4.2,292
Sharp,LC-50LB481U,4.6,2979
Sharp,LC-43LB481U,4.5,2535
LG,49LJ550M,4.6,170
TCL,43S305,5,1
Sharp,LC-32LB591U,4.4,56
Samsung,UN55KU6290FXZA,4.7,3444
Samsung,UN28H4500AFXZA,4.6,2042
Westinghouse,WD42FB2680,4.2,116
Westinghouse,WD50FB2530,4.2,637
LG,32LJ550M,4.8,48
Samsung,UN40J6200AFXZA,4.6,3502
Samsung,UN40MU6300FXZA,4.7,547
Samsung,UN60J6200AFXZA,4.6,2532
Sharp,LC-55LB481U,4.5,932
VIZIO,E55-D0,4.1,437
Samsung,UN32J5500AFXZA,4.7,5399
Samsung,UN24H4500AFXZA,4.5,2692
VIZIO,D39F-E1,4.6,60
Samsung,UN55J6200AFXZA/UN55J6201AFXZA,4.6,3289
Samsung,UN65MU6300FXZA,4.7,213
VIZIO,E48-D0,4,402
LG,55UJ6300,4.5,105
Insignia™,NS-24DR220NA18,4.2,34
LG,24LJ4840-WU,4.6,212
Hisense,39H5D,4.8,4
Samsung,UN50MU6300FXZA,4.7,321
Sony,KDL48W650D,4.4,1028
LG,43UJ6300,4.5,395
Samsung,UN65KU6290FXZA,4.7,977
Insignia™,NS-43DR620NA18,4.5,228
Samsung,UN55MU6300FXZA,4.7,311
Samsung,UN58MU6100FXZA,4.5,73
VIZIO,D43-D2/D43F-E1,4.6,96
Samsung,UN49MU7000FXZA,4.7,278
LG,49UJ6300,4.5,51
Samsung,UN65MU6500FXZA,4.7,119
Hisense,50DU6070,4.4,71
Samsung,UN43MU6300FXZA,4.7,192
Insignia™,NS-55DR620NA18,4.7,82
Westinghouse,WD43UB4530,4.2,212
Samsung,UN55MU6500FXZA,4.7,198
Samsung,UN55MU7000FXZA,4.7,239
LG,60UJ6300,4.5,54
Samsung,UN55MU6500FXZA,4.7,198
Samsung,UN55MU7000FXZA,4.7,239
Samsung,UN65MU6500FXZA,4.7,119
Westinghouse,WD50UC4300,4.2,870
Samsung,UN65KU6290FXZA,4.7,977
VIZIO,D40f-E1,"",""
Hisense,50DU6070,4.4,71
Westinghouse,WD55UB4530,4.1,426
LG,55UH6150,4.6,1567
Sony,XBR49X700D,4.6,923
Toshiba,43L511U18,4.7,22
LG,49UH6030,4.5,543
LG,"",4.8,23
Toshiba,55L621U,4.3,1131
Toshiba,49L621U,4.5,1849
Samsung,UN32J4500AFXZA,4.6,3603
VIZIO,D24-D1,4.5,1316
VIZIO,D32x-D1/D32f-E1,4.6,665
LG,55LJ550M,4.6,211
Samsung,UN32J5205AFXZA,4.6,4571
Samsung,UN50M5300FXZA,3.7,3
Samsung,UN49M5300AFXZA,4.8,67
Insignia™,NS-24ER310NA17,4.4,1204
Samsung,UN75MU6300FXZA,4.7,29
Sharp,LC-43LBU591U,4.7,6
Sharp,LC-50LBU591U,5,2
Sharp,LC-65LBU591U,3.3,7
Sharp,LC-55LBU591U,4.6,5
Sony,XBR65X900E,4.8,803
Sony,XBR55X800E,4.8,241
Sony,XBR55X900E,4.7,510
Samsung,UN65MU8500FXZA,4.7,213
Samsung,UN55MU8000FXZA,4.7,280
Samsung,UN49MU8000FXZA,4.6,118
Sony,XBR65X850E,4.7,418
Sony,XBR75X850E,4.7,297
Samsung,UN55MU8500FXZA,4.7,160
LG,65SJ8500,4.7,41
Samsung,UN65MU7500FXZA,4.8,66
LG,OLED55C7P,4.9,128
LG,65UJ7700,4.6,15
LG,60UJ7700,4.7,22
LG,OLED65C7P,4.8,169
Samsung,QN55Q7FAMFXZA,4.7,94
Sony,XBR65A1E,4.9,80
LG,55SJ8500,4.6,21
TCL,32S305,4,1
LG,OLED65E7P,4.8,19
Samsung,QN75Q7FAMFXZA,4.7,46
Samsung,UN55MU9000FXZA,4.8,57
Sony,XBR75X940E,4.4,52
Samsung,QN65Q9FAMFXZA,4.7,22
LG,75SJ8570,4.8,48
Samsung,QN55Q7CAMFXZA,4.8,24
Samsung,QN65Q7CAMFXZA,4.9,35
Sony,XBR55A1E,4.8,47
LG,OLED55E7P,5,7
Sony,KDL48R510C/US,4.5,786
LG,65SJ9500,4.6,18
Sony,XBR49X900E,4.6,151
